Date,Open,High,Low,Close,Volume
2025-01-01,100.48,103.21,95.71,96.42,9011
2025-01-02,95.73,98.3,92.34,96.2,8149
2025-01-03,96.53,100.91,94.99,97.69,16825
2025-01-04,97.47,99.73,95.98,99.08,18880
2025-01-05,98.9,101.76,94.69,98.26,17359
2025-01-06,98.75,103.36,97.18,97.47,18492
2025-01-07,95.77,99.5,91.78,93.97,18054
2025-01-08,92.52,92.69,90.88,92.51,17941
2025-01-09,93.87,97.74,91.87,96.69,14700
2025-01-10,98.66,99.76,96.61,99.69,12564
2025-01-11,98.0,99.36,96.76,99.03,8224
2025-01-12,100.45,100.73,97.67,98.95,7465
2025-01-13,99.7,101.17,97.55,98.47,14068
2025-01-14,99.19,101.1,98.49,100.05,6906
2025-01-15,101.86,104.23,99.88,100.54,9267
2025-01-16,99.62,103.21,98.78,100.49,5985
2025-01-17,101.12,103.82,98.33,102.45,14911
2025-01-18,102.89,107.87,99.56,101.7,17957
2025-01-19,101.7,104.58,101.61,102.57,7957
2025-01-20,104.4,105.55,101.4,103.48,5973
2025-01-21,103.48,104.27,99.8,101.41,7414
2025-01-22,101.36,104.88,100.89,100.94,12764
2025-01-23,99.5,100.58,95.4,99.54,6201
2025-01-24,101.0,102.53,99.01,100.3,16380
2025-01-25,99.18,101.11,94.55,100.29,19366
2025-01-26,99.98,103.97,95.96,101.16,9757
2025-01-27,101.83,103.05,100.06,100.07,10752
2025-01-28,101.75,103.04,97.61,97.7,10156
2025-01-29,97.24,98.62,96.74,98.42,5265
2025-01-30,96.68,100.41,94.86,96.18,12069
