Date,Open,High,Low,Close,Volume
2025-01-01,101.41,101.74,98.5,98.76,14332
2025-01-02,98.48,99.45,96.62,98.73,5585
2025-01-03,97.12,99.75,93.87,94.26,12038
2025-01-04,95.28,95.85,93.6,94.76,17009
2025-01-05,95.14,98.79,94.78,97.04,8954
2025-01-06,97.88,98.61,94.82,98.5,10182
2025-01-07,99.04,102.57,94.95,96.14,7993
2025-01-08,95.51,98.85,93.99,97.3,5549
2025-01-09,96.69,100.55,93.07,93.2,18224
2025-01-10,92.5,93.23,87.59,91.23,11763
2025-01-11,91.56,95.36,89.62,93.97,18197
2025-01-12,92.98,96.86,92.81,94.64,9283
2025-01-13,94.77,98.72,90.0,98.33,12147
2025-01-14,96.51,96.57,94.89,96.17,5161
2025-01-15,94.58,98.54,91.84,98.46,8591
2025-01-16,99.11,102.3,94.82,102.25,15905
2025-01-17,102.69,105.59,102.3,104.67,17318
2025-01-18,105.48,107.27,104.47,105.44,10945
2025-01-19,106.9,107.1,103.04,106.67,16433
2025-01-20,107.3,111.41,104.69,109.39,17978
2025-01-21,108.39,110.91,107.86,108.79,14117
2025-01-22,106.99,108.36,102.41,104.31,13821
2025-01-23,102.39,107.22,101.8,103.84,17412
2025-01-24,105.17,106.51,100.94,103.95,9882
2025-01-25,104.99,108.95,100.32,105.89,5410
2025-01-26,107.47,107.99,106.47,107.41,13221
2025-01-27,108.09,111.4,103.45,111.17,10558
2025-01-28,111.57,116.11,107.77,108.64,8004
2025-01-29,110.37,110.61,108.42,109.53,16612
2025-01-30,109.33,112.36,106.55,112.05,13022
